Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2011",,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2011",,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2011 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime/1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/2
,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,
,Poarch Creek Tribal,,25,,0,,0,,3,,22,,285,,46,,228,,11,,0
Alaska,,,,,,,,,,,,,,,,,,,,,
,Metlakatla Tribal,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0
Arizona,,,,,,,,,,,,,,,,,,,,,
,Ak-Chin Tribal,,6,,0,,1,,0,,5,,2,,1,,1,,0,,0
,Cocopah Tribal,,21,,0,,4,,0,,17,,42,,9,,29,,4,,0
,Colorado River Agency,,30,,3,,7,,0,,20,,3,,2,,0,,1,,0
,Colorado River Tribal,,11,,0,,0,,0,,11,,71,,38,,4,,29,,19
,Fort Apache Agency,,89,,14,,40,,2,,33,,1,,0,,1,,0,,8
,Fort McDowell Tribal,,33,,0,,0,,1,,32,,44,,3,,31,,10,,6
,Fort Mojave Tribal,,35,,0,,2,,0,,33,,139,,37,,94,,8,,1
,Gila River Indian Community,,216,,4,,32,,6,,174,,568,,94,,332,,142,,22
,Hopi Tribal,,128,,0,,2,,0,,126,,99,,3,,93,,3,,0
