Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2015",,,,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2015",,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2015 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,"Violent
crime",,Murder and nonnegligent manslaughter,,Rape (revised definition)/1,,Rape (revised definition)/2,,Robbery,,Aggravated assault,,Property crime/3,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/4
,,,,,,,,,,,,,,,,,,,,,,,
Alabama ,,,,,,,,,,,,,,,,,,,,,,,
,Poarch Creek Tribal,,13,,0,,2,,,,8,,3,,375,,24,,339,,12,,0
Arizona ,,,,,,,,,,,,,,,,,,,,,,,
,Cocopah Tribal,,4,,0,,0,,,,0,,4,,17,,6,,11,,0,,1
,Colorado River Agency,,3,,0,,0,,,,0,,3,,0,,0,,0,,0,,0
,Colorado River Tribal,,52,,0,,1,,,,23,,28,,144,,4,,136,,4,,
,Fort Apache Agency,,45,,3,,27,,,,0,,15,,0,,0,,0,,0,,
,Fort McDowell Tribal,,9,,0,,0,,,,0,,9,,32,,3,,26,,3,,
,Fort Mojave Tribal,,31,,0,,0,,,,1,,30,,52,,4,,44,,4,,
,Gila River Indian Community,,320,,6,,76,,,,23,,215,,585,,85,,418,,82,,
,Hopi Tribal,,16,,0,,0,,,,0,,16,,80,,39,,36,,5,,1
,Hualapai Tribal,,41,,0,,2,,,,0,,39,,92,,16,,71,,5,,
