Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in the United States, 2010",,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2010",,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2010 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime/1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/2
,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,
,Poarch Creek Tribal,,13,,0,,1,,3,,9,,262,,38,,212,,12,,0
Alaska,,,,,,,,,,,,,,,,,,,,,
,Metlakatla Tribal,,0,,0,,0,,0,,0,,4,,2,,1,,1,,0
Arizona,,,,,,,,,,,,,,,,,,,,,
,Cocopah Tribal,,12,,0,,1,,0,,11,,51,,14,,34,,3,,0
,Colorado River Agency,,12,,0,,4,,0,,8,,1,,1,,0,,0,,7
,Colorado River Tribal,,34,,2,,5,,0,,27,,40,,12,,3,,25,,14
,Fort Apache Agency,,129,,13,,57,,0,,59,,1,,1,,0,,0,,10
,Fort McDowell Tribal,,20,,0,,0,,2,,18,,49,,12,,32,,5,,2
,Fort Mojave Tribal,,37,,0,,1,,0,,36,,120,,25,,85,,10,,5
,Hopi Tribal,,214,,0,,0,,0,,214,,80,,0,,72,,8,,0
,Kaibab Paiute Tribal,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Navajo Nation,,830,,17,,336,,25,,452,,"2,397",,958,,896,,543,,294
