Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Filename:  Tribal Crime in the United States, 2013",,,,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2013",,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2013 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Rape (revised definition )/1,,Rape (legacy definition)/2,,Robbery,,Aggravated assault,,Property crime/3,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/4
,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,
,Poarch Creek Tribal,,6,,0,,,,0,,6,,0,,298,,48,,238,,12,,0
Arizona,,,,,,,,,,,,,,,,,,,,,,,
,Ak-Chin Tribal,,1,,0,,,,0,,1,,0,,5,,0,,3,,2,,0
,Cocopah Tribal,,6,,0,,,,2,,0,,4,,41,,11,,28,,2,,0
,Colorado River Agency,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0
,Colorado River Tribal,,17,,4,,,,0,,0,,13,,107,,81,,3,,23,,1
,Fort Apache Agency,,20,,3,,,,7,,0,,10,,0,,0,,0,,0,,4
,Fort McDowell Tribal,,9,,0,,,,0,,3,,6,,35,,4,,22,,9,,0
,Fort Mojave Tribal,,37,,0,,,,1,,0,,36,,107,,17,,80,,10,,2
,Gila River Indian Community,,216,,3,,,,13,,21,,179,,481,,103,,272,,106,,11
,Hopi Tribal,,21,,0,,,,0,,0,,21,,15,,0,,12,,3,,0
