ID,MAX_OCC,MaxOccNo
006-0003,55,55
006-0005,16,16
006-0007,60,60
006-0008,12,12
006-0009,22,22
006-0010,3,3
006-0011,30,30
006-0012,12,12
006-0013,15,15
006-0014,10,10
006-0015,16,16
013-0021,10,10
013-0023,20,20
013-0024,37,37
013-0025,17,17
013-0025,7,7
013-0026,19,19
017-0001,12,12
017-0002,10,10
017-0002,7,7
017-0004,5,5
017-0006,42,42
027-0031,20,20
027-0032,6,6
027-0033,3,3
027-0034,12,12
027-0036,609,609
027-0037,12,12
027-0038,UNKNOWN,UNK
027-0040,8,8
027-0041,16,16
027-0042,5,5
031-0008,1,1
017-0008,10,10
021-0002,8,8
021-0003,19,19
021-0004,12,12
021-0006,19,19
021-0007,17,17
021-0008,14,14
021-0009,11,11
021-0010,12,12
021-0011,4,4
027-0002,16,16
027-0003,24,24
027-0005,85,85
027-0006,26,26
027-0007,54,54
027-0009,144,144
027-0010,36,36
027-0011,26,26
027-0013,10,10
027-0014,36,36
027-0015,17,17
027-0016,13,13
027-0018,5,5
027-0019,9,9
027-0021,18,18
027-0021,10,10
027-0022,25,25
027-0024,15,15
027-0025,240,240
027-0026,8,8
027-0027,12,12
027-0029,36,36
027-0030,15,15
006-0016,48,48
007-0001,30,30
007-0001,40,40
007-0006,10,10
012-0001,7,7
012-0002,4,4
012-0002,4,4
012-0003,4,4
012-0005,UNKNOWN,UNK
001-0001,9,9
001-0002,8,8
001-0003,12,12
001-0004,24,24
004-0001,200,200
004-0003,10,10
004-0004,10,10
004-0005,26,26
004-0008,10,10
004-0009,17,17
004-0011,150,150
004-0012,4,4
027-0044,86,86
027-0046,19,19
027-0048,12,12
027-0049,8,8
029-0001,UNKNOWN,UNK
029-0004,14,14
029-0005,8,8
029-0006,13,13
029-0007,6,6
029-0008,28,28
029-0009,38,38
012-0021,4,4
012-0022,40,40
012-0023,33,33
012-0025,10,10
013-0001,200,200
013-0002,110,110
013-0003,300,300
013-0004,1650,1650
013-0005,50,50
013-0006,500,500
013-0007,300,300
013-0008,252,252
013-0009,38,38
013-0010,UNKNOWN,UNK
013-0011,UNKNOWN,UNK
013-0012,86,86
013-0012,6,6
013-0013,44,44
013-0014,4,4
013-0015,10,10
013-0016,22,22
013-0019,10,10
013-0020,24,24
004-0012,16,16
004-0014,UNKNOWN,UNK
004-0015,114,114
004-0016,22,22
004-0017,141,141
004-0019,8,8
004-0020,16,16
004-0021,12,12
004-0022,10,10
004-0023,76,76
006-0001,13,13
012-0008,4,4
012-0009,4,4
012-0010,2,2
012-0011,9,9
012-0011,1,1
012-0012,1,1
012-0012,10,10
012-0014,50,50
012-0017,4,4
012-0020,5 SU,5
012-0020,10,10
006-0002,40,40
031-0030,22,22
031-0031,2,2
031-0032,UNKNOWN,UNK
031-0033,UNKNOWN,UNK
031-0034,20,20
031-0035,1,1
031-0036,13 SU,13
031-0036,14,14
031-0037,8 SU,8
031-0037,15,15
031-0048,1,1
031-0049,1,1
031-0050,1,1
031-0051,25,25
031-0052,25,25
031-0053,60,60
031-0054,1,1
031-0055,60,60
031-0056,24,24
031-0057,UNKNOWN,UNK
031-0058,8 SU,8
031-0037,54,8
031-0038,1,1
031-0039,12,12
031-0040,12,12
031-0041,UNKNOWN,UNK
031-0042,1,1
031-0043,2 APART,2
031-0044,23,23
031-0045,23,23
031-0046,9,9
031-0047,15,15
029-0011,8,8
031-0001,16 SU,10
031-0001,3,3
031-0002,1,1
031-0003,5,5
031-0003,10,10
031-0004,10 SU,10
031-0004,4,4
031-0005,UNKNOWN,UNK
031-0006,6,6
031-0006,20,20
031-0007,2,2
029-0012,6,6
029-0013,6,6
029-0014,57,57
029-0017,23,23
029-0018,3,3
029-0019,7,7
029-0020,3,3
029-0020,51,51
029-0021,37,37
029-0022,7,7
029-0023,19,19
031-0009,26,26
031-0010,UNKNOWN,UNK
031-0011,UNKNOWN,UNK
031-0012,100,100
031-0013,21,21
031-0014,2,2
031-0015,1,1
031-0016,100,100
031-0017,UNKNOWN,UNK
031-0018,UNKNOWN,UNK
031-0019,10,10
031-0020,5,5
031-0021,UNKNOWN,UNK
031-0022,UNKNOWN,UNK
031-0023,6 SU,6
031-0023,18,18
031-0024,10,10
031-0025,UNKNOWN,UNK
031-0026,1,1
031-0027,260,260
031-0028,1,1
031-0029,20,20
045-0039,6,6
045-0040,5,5
045-0041,59,59
045-0042,10,10
045-0042,10,10
045-0043,59,59
045-0044,8,8
045-0045,54,54
045-0046,13,13
053-0001,5,5
053-0002,180,180
053-0003,111,111
053-0004,116,116
053-0005,200,200
053-0006,526,526
053-0007,374,374
053-0008,32,32
053-0009,20,20
053-0010,7,7
053-0011,2,2
053-0012,15,15
053-0013,6,6
031-0059,UNKNOWN,UNK
031-0060,UNKNOWN,UNK
031-0061,50,50
031-0062,24,24
031-0062,30,30
031-0063,75,75
031-0064,10,10
031-0066,8,8
031-0067,7,7
031-0069,4,4
031-0070,20,20
031-0071,24,24
031-0072,32,32
031-0073,4,4
031-0074,19,19
031-0075,UNKNOWN,UNK
031-0076,46,46
031-0076,61,61
031-0077,60,60
031-0078,27,27
031-0079,114,114
031-0081,358,358
031-0084,3,3
031-0085,96,96
031-0086,60,60
031-0087,40,40
031-0089,20,20
031-0090,14,14
031-0091,21,21
031-0091,8,8
031-0092,26,26
031-0093,30,30
031-0094,14,14
031-0095,15,15
045-0001,UNKNOWN,UNK
045-0002,97,97
045-0003,18,18
045-0004,20,20
045-0005,UNKNOWN,UNK
045-0006,16,16
045-0007,40,40
045-0008,58,58
045-0009,70,70
045-0010,UNKNOWN,UNK
045-0011,30,30
045-0012,9,9
045-0013,22,22
045-0014,4,4
045-0015,50,50
045-0017,77,77
045-0018,250,250
045-0019,7,7
045-0019,4,4
045-0020,UNKNOWN,UNK
045-0021,7,7
045-0023,79,79
045-0025,UNKNOWN,UNK
045-0027,28,28
045-0029,12,12
045-0030,UNKNOWN,UNK
045-0032,40,40
045-0033,12,12
045-0035,10,10
045-0036,119,119
045-0037,30,30
045-0038,192,192
053-0064,24,24
053-0065,6,6
053-0066,420,420
053-0067,24,24
053-0069,31,31
053-0070,32,32
053-0071,2,2
053-0072,25,25
053-0073,48,48
053-0074,12,12
053-0086,3,3
053-0087,180,180
053-0088,8,8
053-0089,892,892
053-0090,20,20
053-0091,12,12
053-0092,89,89
053-0092,7,7
053-0093,2,2
053-0094,6,6
053-0095,148,148
053-0075,44,44
053-0076,9,9
053-0077,2,2
053-0078,13,13
053-0079,50,50
053-0080,18,18
053-0081,34,34
