ID,MAX_OCC,MaxOccNo,ObjectID,LAST_UPDAT,TYPE,ESTAB_TYPE,CITY,ADDRESS,ZIP_CODE,STATE,LAT,LON
006-0003,55,55,1,2012,PUBLIC,RV PARK_CAMPGROUND,BOWMAN,1 MILE EAST ON HIGWAY 12,58623,ND,46.178715,-103.372854
006-0005,16,16,2,2012,PUBLIC,HOTEL_LODGING,BOWMAN,409 HIGHWAY 85 SOUTH,58623,ND,46.177445,-103.410267
006-0007,60,60,3,2012,PUBLIC,MOBILE HOME,BOWMAN,401 3 AVENUE NE,58623,ND,46.178051,-103.39933
006-0008,12,12,4,2012,PUBLIC,MOBILE HOME,BOWMAN,701 3 STREET NW,58623,ND,46.185772,-103.405585
006-0009,22,22,5,2012,PUBLIC,HOTEL_LODGING,BOWMAN,503 US 85,58623,ND,46.176318,-103.410814
006-0010,3,3,6,2012,PUBLIC,MOBILE HOME,BOWMAN,11 2ND AVENUE NW,58623,ND,46.182448,-103.39795
006-0011,30,30,7,2012,PUBLIC,HOTEL_LODGING,BOWMAN,408 3RD AVENUE SOUTHWEST,58623,ND,46.177165,-103.39952
006-0012,12,12,8,2012,PUBLIC,HOTEL_LODGING,BOWMAN,208 HIGHWAY 12 WEST,58623,ND,46.176918,-103.398048
006-0013,15,15,9,2012,PUBLIC,RV PARK_CAMPGROUND,BOWMAN,701 3 STREET NW,58623,ND,46.185772,-103.405585
006-0014,10,10,10,2012,PUBLIC,MOBILE HOME,SCRANTON,307 7TH AVENUE,58653,ND,46.14897,-103.151378
006-0015,16,16,11,2012,PUBLIC,MOBILE HOME,RHAME,UNKNOWN,58651,ND,46.125237,-103.823034
013-0021,10,10,12,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,RODEO DRIVE AND 4TH AVENUE NW,58640,ND,47.365903,-102.75563
013-0023,20,20,13,2012,PUBLIC,HOTEL_LODGING,KILLDEER,15 MOUNTAIN VIEW ROAD,58640,ND,47.373936,-102.755101
013-0024,37,37,14,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,10239 HIGHWAY 200,58640,ND,47.358562,-102.727396
013-0025,17,17,15,2012,PUBLIC,MOBILE HOME,HALLIDAY,5TH STREET SOUTH AND SELLE AVENUE,58636,ND,47.348399,-102.338489
013-0025,7,7,16,2012,PUBLIC,RV PARK_CAMPGROUND,HALLIDAY,5th STREET SOUTH AND SELLE AVENUE,58636,ND,47.348399,-102.338489
013-0026,19,19,17,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,301 GUMBO LOOP,58640,ND,47.364965,-102.754586
017-0001,12,12,18,2012,PUBLIC,RV PARK_CAMPGROUND,BEACH,350 5 AVENUE NE,58621,ND,46.91684,-103.998648
017-0002,10,10,19,2012,PUBLIC,HOTEL_LODGING,BEACH,91 4TH STREET NW,58621,ND,46.919352,-104.007486
017-0002,7,7,20,2012,PUBLIC,RV PARK_CAMPGROUND,BEACH,91 4TH STREET NW,58621,ND,46.919352,-104.007486
017-0004,5,5,21,2012,PUBLIC,RV PARK_CAMPGROUND,GOLVA,BLODGETT AVENUE,58632,ND,46.732477,-103.984089
017-0006,42,42,22,2012,PUBLIC,MOBILE HOME,BEACH,16701 I-94 FRONTAGE ROAD,58621,ND,46.933654,-103.968423
027-0031,20,20,23,2012,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,301 3 AVENUE SW,58854,ND,47.803251,-103.279901
027-0032,6,6,24,2012,PUBLIC,RV PARK_CAMPGROUND,ALEXANDER,"1935 SAMCO ROAD, STE 102",58831,ND,47.834304,-103.642355
027-0033,3,3,25,2012,PUBLIC,MOBILE HOME,WATFORD CITY,12590 23RD STREET NW,58854,ND,47.746736,-103.280539
027-0034,12,12,26,2012,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,12590 23RD STREET NW,58854,ND,47.746736,-103.280539
027-0036,609,609,27,2013,PUBLIC,RV PARK_CAMPGROUND,FAIRVIEW,16048 35 STREET NW,59221,ND,47.850841,-104.036472
027-0037,12,12,28,2012,PUBLIC,MOBILE HOME,ALEXANDER,13801 28 STREET NW,58831,ND,47.819393,-103.540964
027-0038,UNKNOWN,,29,2013,PUBLIC,HOTEL_LODGING,WATFORD CITY,600 2ND AVENUE SOUTHWEST,58854,ND,47.799673,-103.290314
027-0040,8,8,30,2012,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,1500 6 AVENUE NE,58854,ND,47.785713,-103.286647
027-0041,16,16,31,2013,PUBLIC,RV PARK_CAMPGROUND,ARNEGARD,133J AVE NW,58835,ND,47.810419,-103.471825
027-0042,5,5,32,2013,PUBLIC,MOBILE HOME,KEENE,3751 HIGHWAY 23,58847,ND,47.958377,-102.941376
031-0008,1,1,33,2011,UNKNOWN,MOBILE HOME,PALERMO,UNKNOWN,58769,ND,48.338318,-102.230133
017-0008,10,10,34,2012,PUBLIC,RV PARK_CAMPGROUND,BEACH,16701 I-94 FRONTAGE ROAD,58621,ND,46.933654,-103.968423
021-0002,8,8,35,2012,PUBLIC,RV PARK_CAMPGROUND,NEW ENGLAND,1115 2 AVENUE EAST,58647,ND,46.542478,-102.863619
021-0003,19,19,36,2012,PUBLIC,HOTEL_LODGING,REGENT,2 MAIN AVE S,58650,ND,46.420549,-102.558401
021-0004,12,12,37,2012,PUBLIC,MOBILE HOME,REGENT,SOUTH RAILWAY STREET,58650,ND,46.420835,-102.553088
021-0006,19,19,38,2012,PUBLIC,HOTEL_LODGING,MOTT,802 EAST HIGHWAY 21,58646,ND,46.36947,-102.31812
021-0007,17,17,39,2013,PUBLIC,MOBILE HOME,NEW ENGLAND,UNKNOWN,58647,ND,46.493349,-102.801628
021-0008,14,14,40,2012,PUBLIC,HOTEL_LODGING,MOTT,412 IOWA AVENUE,58646,ND,46.375675,-102.322168
021-0009,11,11,41,2012,PUBLIC,HOTEL_LODGING,REGENT,100 WEST 2 STREET,58650,ND,46.420382,-102.556273
021-0010,12,12,42,2013,PUBLIC,RV PARK_CAMPGROUND,MOTT,HC2,58646,ND,46.418439,-102.288844
021-0011,4,4,43,2013,PUBLIC,RV PARK_CAMPGROUND,NEW ENGLAND,11750 HIGHWAY 21 WEST,58647,ND,46.493349,-102.801628
027-0002,16,16,44,2012,PUBLIC,CREW CAMP,WATFORD CITY,301 3 AVENUE SW,58854,ND,47.797772,-103.289029
027-0003,24,24,45,2012,PUBLIC,CREW CAMP,WATFORD CITY,2571 110 AVENUE NW,58854,ND,47.785387,-102.941722
027-0005,85,85,46,2012,PUBLIC,CREW CAMP,WATFORD CITY,12880 29 STREET NW,58854,ND,47.834222,-103.327893
027-0006,26,26,47,2013,PUBLIC,MOBILE HOME,ARNEGARD,EAST BALL DIAMOND ROAD,58835,ND,47.810419,-103.471825
027-0007,54,54,48,2013,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,12597 ZOE ROAD,58854,ND,47.799345,-103.283109
027-0009,144,144,49,2012,PUBLIC,CREW CAMP,ALEXANDER,14050 HIGHWAY 85 NORTH,58831,ND,47.804863,-103.594358
027-0010,36,36,50,2012,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,1008 5TH AVENUE SE,58854,ND,47.799106,-103.265873
027-0011,26,26,51,2013,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,2147 E SKOKIE DRIVE,58854,ND,47.799345,-103.283109
027-0013,10,10,52,2012,PUBLIC,RV PARK_CAMPGROUND,EAST FAIRVIEW,308 S INTERSTATE AVENUE,59221,ND,47.847776,-104.041808
027-0014,36,36,53,2012,PUBLIC,CREW CAMP,KEENE,10686 35 STREET NW,58847,ND,47.919607,-102.955383
027-0015,17,17,54,2012,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,905 11 STREET SW,58854,ND,47.79159,-103.300322
027-0016,13,13,55,2012,PUBLIC,MOBILE HOME,WATFORD CITY,421 POPLAR STREET,58854,ND,47.805842,-103.275772
027-0018,5,5,56,2012,PUBLIC,MOBILE HOME,ALEXANDER,201 MAIN AVENUE EAST,58831,ND,47.835272,-103.64069
027-0019,9,9,57,2012,PUBLIC,RV PARK_CAMPGROUND,ALEXANDER,201 MAIN AVENUE EAST,58831,ND,47.835272,-103.64069
027-0021,18,18,58,2013,PUBLIC,MOBILE HOME,EAST FAIRVIEW,3262 HIGHWAY 58,59221,ND,47.850841,-104.036472
027-0021,10,10,59,2013,PUBLIC,RV PARK_CAMPGROUND,EAST FAIRVIEW,3262 HIGHWAY 58,59221,ND,47.850841,-104.036472
027-0022,25,25,60,2013,PUBLIC,RV PARK_CAMPGROUND,EAST FAIRVIEW,3781 HIGHWAY 58,59221,ND,47.850841,-104.036472
027-0024,15,15,61,2012,PUBLIC,HOTEL_LODGING,WATFORD CITY,132 3RD STREET SW,58854,ND,47.801109,-103.285986
027-0025,240,240,62,2012,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,2052 125 AVENUE NW,58854,ND,47.689077,-103.261738
027-0026,8,8,63,2012,PUBLIC,RV PARK_CAMPGROUND,ARNEGARD,407 MAIN ST,58835,ND,47.805474,-103.441687
027-0027,12,12,64,2012,PUBLIC,CREW CAMP,EAST FAIRVIEW,312 EAST 6 STREET,59221,ND,47.851275,-104.04639
027-0029,36,36,65,2013,PUBLIC,MOBILE HOME,WATFORD CITY,1935 SAMCO RD STE 102,58854,ND,47.799345,-103.283109
027-0030,15,15,66,2012,PUBLIC,RV PARK_CAMPGROUND,WATFORD CITY,301 SW 3 AVENUE,58854,ND,47.803222,-103.286132
006-0016,48,48,67,2012,PUBLIC,MOBILE HOME,BOWMAN,6725 APPLE CREEK DRIVE,58623,ND,46.106608,-103.419923
007-0001,30,30,68,2012,PUBLIC,CREW CAMP,MCGREGOR,10095 HWY 50,58755,ND,48.577082,-102.865454
007-0001,40,40,69,2012,PUBLIC,RV PARK_CAMPGROUND,MCGREGOR,10095 HWY 50,58755,ND,48.577082,-102.865454
007-0006,10,10,70,2012,PUBLIC,RV PARK_CAMPGROUND,POWERS LAKE,UNKNOWN,58773,ND,48.559245,-102.646669
012-0001,7,7,71,2012,PRIVATE,RV PARK_CAMPGROUND,WILDROSE,UNKNOWN,58795,ND,48.728239,-103.049988
012-0002,4,4,72,2012,PRIVATE,MOBILE HOME,AMBROSE,UNKNOWN,58833,ND,48.868987,-103.547341
012-0002,4,4,73,2012,PRIVATE,RV PARK_CAMPGROUND,AMBROSE,UNKNOWN,58833,ND,48.868987,-103.547341
012-0003,4,4,74,2012,PRIVATE,RV PARK_CAMPGROUND,MCGREGOR,UNKNOWN,58755,ND,48.636645,-102.931706
012-0005,UNKNOWN,,75,2012,PRIVATE,RV PARK_CAMPGROUND,AMBROSE,UNKNOWN,58833,ND,48.990224,-103.489182
001-0001,9,9,76,2012,PUBLIC,MOBILE HOME,HETTINGER,1400 EAST 2 STREET,58639,ND,46.191749,-102.663522
001-0002,8,8,77,2013,PUBLIC,MOBILE HOME,REEDER,3421 LAKEVIEW LANE,58649,ND,46.134443,-102.927033
001-0003,12,12,78,2013,PUBLIC,RV PARK_CAMPGROUND,REEDER,UNKNOWN,58649,ND,46.134443,-102.927033
001-0004,24,24,79,2012,PUBLIC,HOTEL_LODGING,HETTINGER,508 3RD AVENUE SOUTH,58639,ND,45.999246,-102.636534
004-0001,200,200,80,2012,UNKNOWN,CREW CAMP,BELFIELD,UNKNOWN,58622,ND,46.869103,-103.304073
004-0003,10,10,81,2012,PRIVATE,MOBILE HOME,FAIRFIELD,UNKNOWN,58627,ND,47.125292,-103.203576
004-0004,10,10,82,2012,PRIVATE,MOBILE HOME,FAIRFIELD,UNKNOWN,58627,ND,47.127736,-103.2048
004-0005,26,26,83,2012,PRIVATE,CREW CAMP,FAIRFIELD,UNKNOWN,58627,ND,47.124257,-103.197872
004-0008,10,10,84,2012,PUBLIC,RV PARK_CAMPGROUND,FAIRFIELD,UNKNOWN,58627,ND,47.284753,-103.286924
004-0009,17,17,85,2012,PUBLIC,RV PARK_CAMPGROUND,BELFIELD,1967 HIGHWAY 85 SW,58622,ND,47.127946,-103.203025
004-0011,150,150,86,2012,PUBLIC,RV PARK_CAMPGROUND,MEDORA,250 EAST RIVER ROAD,58645,ND,46.909107,-103.52482
004-0012,4,4,87,2012,PUBLIC,MOBILE HOME,MEDORA,UNKNOWN,58645,ND,46.889963,-103.526394
027-0044,86,86,88,2013,PUBLIC,CREW CAMP,WATFORD CITY,5353 WAYZATA BLVD  STE 400,58854,ND,47.799345,-103.283109
027-0046,19,19,89,2012,PUBLIC,MOBILE HOME,ALEXANDER,202 OHIO AVENUE WEST,58831,ND,47.846077,-103.643888
027-0048,12,12,90,2012,PUBLIC,CREW CAMP,ALEXANDER,14038 HIGHWAY 85 NORTH,58831,ND,47.804867,-103.591887
027-0049,8,8,91,2012,PUBLIC,MOBILE HOME,EAST FAIRVIEW,15834 HIGHWAY 200,59221,ND,47.861627,-104.043948
029-0001,UNKNOWN,,92,2013,PUBLIC,HOTEL_LODGING,BEULAH,2100 2ND AVENUE NORTHWEST,58523,ND,47.278034,-101.781635
029-0004,14,14,93,2012,PUBLIC,MOBILE HOME,BEULAH,403 CENTRAL AVENUE SOUTH,58523,ND,47.259759,-101.778359
029-0005,8,8,94,2012,PUBLIC,RV PARK_CAMPGROUND,BEULAH,403 CENTRAL AVENUE SOUTH,58523,ND,47.259759,-101.778359
029-0006,13,13,95,2013,PUBLIC,MOBILE HOME,BEULAH,2654 AUGUSTA DRIVE,58523,ND,47.118528,-101.933471
029-0007,6,6,96,2012,PUBLIC,MOBILE HOME,HAZEN,1002 1 STREET NE,58545,ND,47.304331,-101.622673
029-0008,28,28,97,2012,PUBLIC,RV PARK_CAMPGROUND,HAZEN,146 EAST MAIN STREET,58545,ND,47.511273,-101.45342
029-0009,38,38,98,2012,PUBLIC,HOTEL_LODGING,BEULAH,1008 HIGHWAY 49 NORTH,58523,ND,47.274335,-101.783077
012-0021,4,4,99,2012,PUBLIC,RV PARK_CAMPGROUND,NOONAN,302 MAIN STREET,58765,ND,48.888026,-103.008313
012-0022,40,40,100,2012,PUBLIC,HOTEL_LODGING,CROSBY,810 4TH STREET SOUTHEAST,58730,ND,48.908125,-103.290089
012-0023,33,33,101,2013,PUBLIC,HOTEL_LODGING,CROSBY,UNKNOWN,58730,ND,48.833294,-103.272863
012-0025,10,10,102,2012,PUBLIC,RV PARK_CAMPGROUND,NOONAN,500 MAIN STREET,58765,ND,48.886501,-103.007816
013-0001,200,200,103,2012,UNKNOWN,CREW CAMP,MANNING,UNKNOWN,58642,ND,47.223298,-102.765594
013-0002,110,110,104,2012,UNKNOWN,CREW CAMP,MANNING,UNKNOWN,58642,ND,47.226442,-102.773785
013-0003,300,300,105,2012,UNKNOWN,CREW CAMP,KILLDEER,UNKNOWN,58640,ND,47.359366,-102.793123
013-0004,1650,1650,106,2012,PUBLIC,CREW CAMP,UNKNOWN,UNKNOWN,0,ND,47.020994,-102.678116
013-0005,50,50,107,2012,PRIVATE,CREW CAMP,KILLDEER,UNKNOWN,58640,ND,47.37274,-102.734077
013-0006,500,500,108,2012,PUBLIC,CREW CAMP,UNKNOWN,UNKNOWN,0,ND,47.019588,-102.807566
013-0007,300,300,109,2012,PUBLIC,CREW CAMP,KILLDEER,UNKNOWN,58640,ND,47.367162,-102.793228
013-0008,252,252,110,2012,PUBLIC,CREW CAMP,KILLDEER,UNKNOWN,58640,ND,47.363074,-102.790466
013-0009,38,38,111,2012,PRIVATE,CREW CAMP,KILLDEER,UNKNOWN,58640,ND,47.392475,-102.76605
