Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
1,006-0003,55,55,46.178714999999900,-103.372854000000000
2,006-0005,16,16,46.177444999999900,-103.410267000000000
3,006-0007,60,60,46.178051000000000,-103.399330000000000
4,006-0008,12,12,46.185772000000000,-103.405585000000000
5,006-0009,22,22,46.176318000000000,-103.410814000000000
6,006-0010,3,3,46.182448000000000,-103.397949999999000
7,006-0011,30,30,46.177165000000000,-103.399520000000000
8,006-0012,12,12,46.176918000000000,-103.398048000000000
9,006-0013,15,15,46.185772000000000,-103.405585000000000
10,006-0014,10,10,46.148969999999900,-103.151377999999000
11,006-0015,16,16,46.125236999999900,-103.823034000000000
12,013-0021,10,10,47.365903000000000,-102.755630000000000
13,013-0023,20,20,47.373936000000000,-102.755101000000000
14,013-0024,37,37,47.358561999999900,-102.727396000000000
15,013-0025,17,17,47.348399000000000,-102.338489000000000
16,013-0025,7,7,47.348399000000000,-102.338489000000000
17,013-0026,19,19,47.364964999999900,-102.754586000000000
18,017-0001,12,12,46.916840000000000,-103.998648000000000
19,017-0002,10,10,46.919352000000000,-104.007486000000000
20,017-0002,7,7,46.919352000000000,-104.007486000000000
21,017-0004,5,5,46.732477000000000,-103.984089000000000
22,017-0006,42,42,46.933653999999900,-103.968423000000000
23,027-0031,20,20,47.803251000000000,-103.279901000000000
24,027-0032,6,6,47.834304000000000,-103.642354999999000
25,027-0033,3,3,47.746735999999900,-103.280539000000000
26,027-0034,12,12,47.746735999999900,-103.280539000000000
27,027-0036,609,609,47.850841000000000,-104.036472000000000
28,027-0037,12,12,47.819392999999900,-103.540964000000000
29,027-0038,UNKNOWN,UNK,47.799673000000000,-103.290314000000000
30,027-0040,8,8,47.785713000000000,-103.286647000000000
31,027-0041,16,16,47.810419000000000,-103.471825000000000
32,027-0042,5,5,47.958376999999900,-102.941376000000000
33,031-0008,1,1,48.338318000000000,-102.230133000000000
34,017-0008,10,10,46.933653999999900,-103.968423000000000
35,021-0002,8,8,46.542478000000000,-102.863619000000000
36,021-0003,19,19,46.420549000000000,-102.558401000000000
37,021-0004,12,12,46.420834999999900,-102.553088000000000
38,021-0006,19,19,46.369470000000000,-102.318119999999000
39,021-0007,17,17,46.493349000000000,-102.801627999999000
40,021-0008,14,14,46.375675000000000,-102.322168000000000
41,021-0009,11,11,46.420381999999900,-102.556273000000000
42,021-0010,12,12,46.418438999999900,-102.288844000000000
43,021-0011,4,4,46.493349000000000,-102.801627999999000
44,027-0002,16,16,47.797772000000000,-103.289029000000000
45,027-0003,24,24,47.785387000000000,-102.941722000000000
46,027-0005,85,85,47.834221999999900,-103.327893000000000
47,027-0006,26,26,47.810419000000000,-103.471825000000000
48,027-0007,54,54,47.799345000000000,-103.283109000000000
49,027-0009,144,144,47.804862999999900,-103.594358000000000
50,027-0010,36,36,47.799106000000000,-103.265873000000000
51,027-0011,26,26,47.799345000000000,-103.283109000000000
52,027-0013,10,10,47.847776000000000,-104.041808000000000
53,027-0014,36,36,47.919606999999900,-102.955383000000000
54,027-0015,17,17,47.791589999999900,-103.300321999999000
55,027-0016,13,13,47.805841999999900,-103.275772000000000
56,027-0018,5,5,47.835272000000000,-103.640690000000000
