Long,Lat,year_,MSHA_ID,name,type_,mstafips,state,county,mctyfips,lat,lon,unit,tot_prod,notes,Total_Production
-107.63111099969181,40.45222200032759,2018,502838,Trapper Mine,Surface,8,Colorado,Moffat,81,40.452222,-107.631111,short tons,2140461, ,2140461.0
-107.7833330003428,40.299999999963504,2018,502962,Colowyo Mine,Surface,8,Colorado,Moffat,81,40.3,-107.783333,short tons,1470896, ,1470896.0
-108.72611100042275,40.16916700009937,2018,503505,Deserado Mine,Underground,8,Colorado,Rio Blanco,103,40.169167,-108.726111,short tons,2073860, ,2073860.0
-107.45805600040356,38.93305599989454,2018,503672,West Elk Mine,Underground,8,Colorado,Gunnison,51,38.933056,-107.458056,short tons,4674833, ,4674833.0
-107.0719439997673,40.352777000079946,2018,503836,Foidel Creek Mine,Underground,8,Colorado,Routt,107,40.352777,-107.071944,short tons,3049511, ,3049511.0
-108.0980549996112,37.25111100010049,2018,504864,King Ii,Underground,8,Colorado,La Plata,67,37.251111,-108.098055,short tons,615947, ,615947.0
-89.86277799973962,39.20583300011659,2018,1100726,Shay #1 Mine,Underground,17,Illinois,Macoupin,117,39.205833,-89.862778,short tons,1947164, ,1947164.0
-89.44972199964174,40.003611000288664,2018,1102664,Viper Mine,Underground,17,Illinois,Sangamon,167,40.003611,-89.449722,short tons,1782322, ,1782322.0
-89.31250000023135,37.95833299973074,2018,1103045,Red Hawk,Surface,17,Illinois,Perry,145,37.958333,-89.3125,short tons,76625, ,76625.0
-89.33708799987538,37.98517799983756,2018,1103131,Bcr Mine #1,Surface,17,Illinois,Perry,145,37.985178,-89.337088,short tons,567,Refuse coal is included,567.0
-89.58555600042854,38.07138899996394,2018,1103147,Prairie Eagle-Underground,Underground,17,Illinois,Perry,145,38.071389,-89.585556,short tons,3944857, ,3944857.0
-89.65472200042667,38.28305600033224,2018,1103193,Lively Grove Mine,Underground,17,Illinois,Washington,189,38.283056,-89.654722,short tons,6331873, ,6331873.0
