Opername,Pipename,Shape_Leng,Shape__Length
ENBRIDGE,LSr Project,6.33628347985,763004.767749845
ENBRIDGE,Lakehead,6.12705926343,758732.3092516937
ENBRIDGE,Lakehead,7.32672604926,1004615.047870976
ENBRIDGE,Lakehead,7.35446465229,1007658.2650501298
ENBRIDGE,Lakehead,11.5914142055,1424696.8473337304
ENBRIDGE,Mainline,16.6562515004,1963894.4941619579
ENBRIDGE,Midcontinent (Ozark),7.29019726809,850806.4189106001
ENBRIDGE,North Dakota System,1.04886567284,153819.11309025605
ENBRIDGE,North Dakota System,1.41469777281,168234.410641157
ENBRIDGE,North Dakota System,2.59924819966,351718.75780549017
ENBRIDGE,North Dakota System,9.13175013181,1055344.999699698
ENBRIDGE,Southern Access,8.33654187556,1150314.9908804852
ENBRIDGE,Spearhead,9.65982166663,1169834.8887937712
MAGELLAN,Osage,2.79288619351,366736.3753009101
NUSTAR ENERGY,Central West Crude Oil Pipeline System,7.13551796793,907442.5251400868
PLAINS PIPELINE,Frontier Pipeline,6.24112741597,737439.9232589151
SPECTRA ENERGY,Express System,12.1968192061,1852044.4819496253
SPECTRA ENERGY,Platte Pipeline,16.7759159608,1920112.4064345018
TRANSCANADA,Keystone,4.12284487244,577186.7590973828
TRANSCANADA,Keystone,8.04123529726,903818.8229095752
TRANSCANADA,Keystone,15.0855503861,1842113.9501459568
TRANSCANADA,Keystone,9.11696540587,1418700.63358181
BUTTE PIPELINE,BUTTE PIPELINE,4.57951433921,690332.2058039202
PHILLIPS 66 PIPELINE,Glacier Pipeline,5.98691043909,775583.2263027092
PHILLIPS 66 PIPELINE,JUNCTION TO RODEO REFINERY,3.42838320286,432892.52978374105
EXXONMOBIL,Pegasus,10.1177276255,1250257.523405362
KOCH PIPELINE,MINNCAN PIPELINE SYSTEM,13.1915902332,1795522.3617664317
KOCH PIPELINE,Minnesota Pipeline,4.28159310217,597823.8787531151
WESTERN GAS,White Cliffs Pipeline,9.06648099117,1077902.9380714758
MARATHON,PATOKA - MARTINSVILLE,9.14254331928,1047798.4504149472
CHS ENERGY,Front Range,5.27592381085,722152.1286932771
BP PIPELINE (North America),Cushing\Whiting,11.4784098703,1398038.3735084776
KINDER MORGAN,TransMountain,13.1332393989,1728859.1840163826
ENBRIDGE,North Dakota System,0.926771295043,113343.833852225
ENBRIDGE,North Dakota System,1.19318997324,146784.4976853735
ENBRIDGE,North Dakota System,0.291707588252,32475.884882742426
BRIDGER PIPELINE,Poplar System,2.90875646981,455800.4470077746
BRIDGER PIPELINE,Poplar System,0.237912805956,29521.78394930834
BRIDGER PIPELINE,Four Bears Pipeline System,2.7864491299,380767.52397837717
PLAINS PIPELINE,Rocky Mountain,0.929970103663,116598.54086369628
PLAINS PIPELINE,Rocky Mountain,0.181427517173,26804.392795242173
PLAINS PIPELINE,Rocky Mountain,5.03455645144,659170.3386125811
PLAINS PIPELINE,Rocky Mountain,1.04334044328,157220.08541247476
PLAINS PIPELINE,Rocky Mountain,5.47443501992,620856.0036887288
PLAINS PIPELINE,Rocky Mountain,1.29675799251,182864.4863887711
PLAINS PIPELINE,Rocky Mountain,2.26441088374,294655.7766431136
PLAINS PIPELINE,Rocky Mountain,1.89950796817,226855.66519140895
PLAINS PIPELINE,Rocky Mountain,0.736470499676,107040.52332209883
PLAINS PIPELINE,Coffeyville,1.48271447786,188641.68319578213
WESTERN REFINING,WESTERN REFINING,2.42592526917,310246.09012469836
CHEVRON,SALT LAKE CRUDE,3.20058176584,366868.97422969545
ENBRIDGE,Alberta Clipper,22.7295773147,2708701.136051144
TALLGRASS ENERGY,Pony Express Mainline,11.2812261467,1399068.6678863345
ENERGY TRANSFER,Dakota Access Pipeline (DAPL),20.4419018484,2559439.187160395
ENERGY TRANSFER,Dakota Access Pipeline (DAPL),0.0131774815071,2141.6885426274157
ENERGY TRANSFER,Dakota Access Pipeline (DAPL),0.0539708035445,6479.597679562134
ENERGY TRANSFER,Dakota Access Pipeline (DAPL),0.0369714788646,4865.54215518544
ENERGY TRANSFER,Dakota Access Pipeline (DAPL),0.0563388546265,7775.721295204215
KINDER MORGAN,Double H Pipeline,7.45501064074,1062062.857157054
KINDER MORGAN,Double H Pipeline,0.221702258014,25131.71917563427
TRUE OIL,Belle Fourche Pipeline,0.528572333827,79882.56316016485
TRUE OIL,Belle Fourche Pipeline,1.5878474005,230393.33011577761
TRUE OIL,Belle Fourche Pipeline,1.24732021827,160085.990357215
TRUE OIL,Belle Fourche Pipeline,2.18785740156,285793.8673085961
TRUE OIL,Belle Fourche Pipeline,2.84094349453,415699.9477354429
TRUE OIL,Belle Fourche Pipeline,0.564608796545,71471.91693121866
TRUE OIL,Belle Fourche Pipeline,0.716638456402,87560.53570399176
PLAINS PIPELINE,Rocky Mountain,0.781749510651,111170.51441121657
