Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2008",,,,,,,,,,,,,,,,,,,,,
"Table title:  Offenses Known to Tribal Law Enforcement,  2008",,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2008 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime /1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/1
,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,,,,,
,Miccosukee Tribal,,25,,0,,2,,0,,23,,113,,42,,61,,10,,0
Kansas,,,,,,,,,,,,,,,,,,,,,
,Seminole Tribal,,71,,0,,5,,23,,43,,684,,76,,545,,63,,2
New Mexico,,,,,,,,,,,,,,,,,,,,,
,Potawatomi Tribal,,1,,0,,0,,0,,1,,33,,3,,30,,0,,0
,Acoma Tribal,,17,,0,,0,,0,,17,,20,,7,,12,,1,,0
Oregon,,,,,,,,,,,,,,,,,,,,,
,Laguna Tribal,,98,,0,,15,,0,,83,,76,,14,,57,,5,,1
Washington,,,1,,0,,0,,1,,0,,43,,17,,24,,2,,0
,Siletz Tribal,,,,,,,,,,,,,,,,,,,,
 ,Lummi Tribal,,77,,0,,1,,9,,67,,287,,73,,202,,12,,6
,Nooksack Tribal,,11,,0,,3,,2,,6,,69,,24,,41,,4,,0
Wisconsin,,,4,,0,,2,,1,,1,,66,,13,,50,,3,,0
,Swinomish Tribal,,,,,,,,,,,,,,,,,,,,
,Lac du Flambeau Tribal,,11,,1,,1,,0,,9,,310,,27,,245,,38,,0
,Menominee Tribal,,44,,2,,3,,2,,37,,147,,19,,100,,28,,4
,Oneida Tribal,,15,,0,,4,,0,,11,,492,,17,,456,,19,,0
,,,,,,,,,,,,,,,,,,,,,
Total number of reporting tribal law enforcement agencies,,12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1/Arson is not included in the property crime total in this table; however, if complete arson data were provided, it will appear in the arson column.",,,,,,,,,,,,,,,,,,,,,
2/The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.  ,,,,,,,,,,,,,,,,,,,,,
"Source:  FBI, Crime in the United States, Table 11. Offenses Known to Law Enforcement, 2008.",,,,,,,,,,,,,,,,,,,,,
