Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2009",,,,,,,,,,,,,,,,,,,,,
Table title: Offenses Known to Tribal Law Enforcement 2009,,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2009 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime/1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/2
,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,
,Poarch Creek Tribal,,14,,0,,2,,4,,8,,91,,13,,71,,7,,0
Arizona,,,,,,,,,,,,,,,,,,,,,
,Cocopah Tribal,,16,,0,,0,,1,,15,,34,,6,,26,,2,,0
,Colorado River Tribal,,48,,1,,1,,0,,46,,44,,19,,12,,13,,30
,Fort Apache Tribal,,152,,6,,65,,3,,78,,8,,4,,4,,0,,5
,Hopi Tribal,,13,,3,,6,,1,,3,,0,,0,,0,,0,,1
,Hualapai Tribal,,127,,0,,2,,1,,124,,31,,22,,7,,2,,2
,Navajo Tribal,,905,,15,,374,,37,,479,,"2,866",,"1,132",,"1,032",,702,,307
,Quechan Tribal,,5,,0,,0,,0,,5,,36,,14,,17,,5,,4
,Colorado River Tribal,,,,,,,,,,,,,,,,,,,,
,Southern Ute Tribal,,22,,0,,5,,1,,16,,37,,26,,1,,10,,1
,Ute Mountain Tribal,,11,,1,,2,,0,,8,,2,,1,,0,,1,,2
Connecticut  ,,,,,,,,,,,,,,,,,,,,,
