Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2012",,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2012",,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2012 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime/1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/2
,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,
,Poarch Creek Tribal,,4,,0,,0,,3,,1,,296,,77,,207,,12,,
Alaska,,,,,,,,,,,,,,,,,,,,,
,Metlakatla Tribal,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0
Arizona,,,,,,,,,,,,,,,,,,,,,
,Ak-Chin Tribal,,8,,0,,1,,0,,7,,3,,0,,2,,1,,0
,Cocopah Tribal,,14,,0,,0,,1,,13,,30,,4,,22,,4,,0
,Colorado River Agency,,9,,1,,2,,0,,6,,1,,1,,0,,0,,9
,Colorado River Tribal,,21,,3,,0,,1,,17,,75,,50,,1,,24,,19
,Fort Apache Agency,,10,,5,,0,,0,,5,,0,,0,,0,,0,,5
,Fort Mojave Tribal,,34,,1,,3,,0,,30,,90,,7,,77,,6,,5
,Hopi Tribal,,199,,0,,0,,1,,198,,138,,0,,136,,2,,0
,Hualapai Tribal,,80,,0,,0,,1,,79,,38,,32,,5,,1,,
,Kaibab Paiute Tribal,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0
