Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2014",,,,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2014",,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2014 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Rape (legacy definition)/1,,Rape (legacy definition)/2,,Robbery,,Aggravated assault,,Property crime,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/3
,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,,,,,,
,Ak-Chin Tribal,,3,,0,,1,,,,0,,2,,1,,,,1,,0,,0
,Cocopah Tribal,,11,,0,,0,,,,1,,10,,48,,0,,32,,7,,0
,Colorado River Agency,,9,,1,,0,,,,3,,5,,0,,9,,0,,0,,
,Colorado River Tribal,,41,,1,,4,,,,5,,31,,73,,0,,0,,27,,1
,Fort Apache Agency,,35,,1,,25,,,,1,,8,,4,,46,,1,,1,,1
,Navajo Nation,,489,,3,,316,,,,20,,150,,"2,614",,2,,"1,036",,683,,314
,Salt River Tribal,,61,,1,,,,10,,12,,38,,525,,895,,407,,40,,3
California,,,,,,,,,,,,,,,,,78,,,,,,
,La Jolla Tribal,,2,,0,,0,,,,1,,1,,4,,,,0,,2,,0
,Tule River Tribal,,34,,2,,,,0,,3,,29,,26,,2,,13,,6,,0
Colorado,,,,,,,,,,,,,,,,,7,,,,,,
,Southern Ute Tribal,,9,,0,,3,,,,0,,6,,9,,,,0,,4,,
,Ute Mountain Tribal,,9,,0,,0,,,,0,,9,,5,,5,,0,,2,,
Florida,,,,,,,,,,,,,,,,,3,,,,,,
,Miccosukee Tribal,,6,,0,,1,,,,2,,3,,72,,,,61,,8,,2
,Seminole Tribal,,62,,1,,5,,,,23,,33,,669,,3,,599,,42,,0
Idaho,,,,,,,,,,,,,,,,,28,,,,,,
,Kootenai Tribal,,0,,0,,,,0,,0,,0,,3,,,,0,,1,,0
Kansas,,,,,,,,,,,,,,,,,2,,,,,,
,Iowa Tribal,,0,,0,,0,,,,0,,0,,0,,,,0,,0,,
,Kickapoo Tribal,,3,,0,,0,,,,0,,3,,31,,0,,6,,4,,
,Potawatomi Tribal,,1,,0,,0,,,,0,,1,,21,,21,,12,,1,,0
,Sac and Fox Tribal,,1,,0,,,,1,,0,,0,,15,,8,,9,,2,,
Louisiana,,,,,,,,,,,,,,,,,4,,,,,,
,Chitimacha Tribal,,1,,0,,0,,,,0,,1,,80,,,,70,,3,,0
,Coushatta Tribal,,5,,0,,,,0,,1,,4,,194,,7,,176,,7,,2
,Tunica-Biloxi Tribal,,11,,0,,0,,,,0,,11,,123,,11,,120,,0,,0
Michigan ,,,,,,,,,,,,,,,,,3,,,,,,
,Bay Mills Tribal,,0,,0,,0,,,,0,,0,,13,,,,9,,0,,
,Grand Traverse Tribal,,3,,0,,1,,,,1,,1,,17,,4,,15,,1,,
,Gun Lake Tribal,,2,,0,,0,,,,2,,0,,63,,1,,55,,8,,
,Hannahville Tribal,,19,,0,,16,,,,0,,3,,77,,0,,59,,3,,
,Keweenaw Bay Tribal,,2,,0,,0,,,,0,,2,,15,,15,,12,,3,,
,Lac Vieux Desert Tribal,,4,,0,,1,,,,0,,3,,9,,0,,3,,1,,
,Little River Band of Ottawa Indians,,0,,0,,0,,,,0,,0,,25,,5,,24,,1,,0
,Little Traverse Bay Bands of Odawa Indians,,5,,0,,0,,,,0,,5,,70,,0,,70,,0,,
,Nottawaseppi Huron Band of Potawatomi,,7,,0,,4,,,,0,,3,,73,,0,,70,,0,,1
,Pokagon Tribal,,5,,0,,1,,,,2,,2,,156,,3,,153,,1,,
,Sault Ste. Marie Tribal,,15,,0,,13,,,,2,,0,,92,,2,,74,,1,,
Minnesota,,,,,,,,,,,,,,,,,17,,,,,,
,Fond du Lac Tribal,,0,,0,,0,,,,0,,0,,9,,,,4,,2,,0
,Leech Lake Band of Ojibwe,,22,,0,,8,,,,3,,11,,84,,3,,53,,12,,6
,Lower Sioux Tribal,,19,,0,,1,,,,0,,18,,37,,19,,22,,6,,2
,Mille Lacs Tribal,,21,,0,,0,,,,8,,13,,186,,9,,131,,15,,1
,Nett Lake Tribal,,7,,0,,1,,,,0,,6,,17,,40,,7,,3,,1
,Red Lake Agency,,82,,4,,7,,,,16,,55,,492,,7,,327,,73,,17
,White Earth Tribal,,35,,0,,0,,,,15,,20,,369,,92,,220,,54,,5
Montana,,,,,,,,,,,,,,,,,95,,,,,,
,Blackfeet Agency,,252,,1,,,,11,,7,,233,,314,,,,4,,136,,
,Crow Agency,,25,,0,,,,6,,0,,19,,60,,174,,37,,13,,
,Fort Belknap Tribal,,20,,0,,,,4,,0,,16,,44,,10,,40,,0,,
,Fort Peck Assiniboine and Sioux Tribes,,74,,5,,,,8,,2,,59,,107,,4,,49,,18,,
,Northern Cheyenne Agency,,54,,1,,,,7,,1,,45,,66,,40,,25,,23,,
,Rocky Boys Tribal,,61,,0,,,,6,,0,,55,,181,,18,,106,,16,,
Nebraska,,,,,,,,,,,,,,,,,59,,,,,,
,Omaha Tribal,,34,,1,,4,,,,0,,29,,25,,,,0,,15,,1
,Santee Tribal,,34,,0,,1,,,,0,,33,,19,,10,,9,,3,,0
,Winnebago Tribal,,33,,0,,1,,,,0,,32,,12,,7,,8,,2,,
New Mexico,,,,,,,,,,,,,,,,,2,,,,,,
,Acoma Tribal,,26,,0,,0,,,,0,,26,,18,,,,13,,2,,
,Isleta Tribal,,59,,0,,0,,,,0,,59,,142,,3,,103,,27,,
,Jemez Pueblo,,13,,0,,0,,,,0,,13,,7,,12,,5,,2,,
,Jicarilla Apache Tribal,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,
,Mescalero Tribal,,20,,1,,5,,,,0,,14,,18,,0,,11,,2,,
,Northern Pueblos Agency,,7,,0,,3,,,,1,,3,,24,,5,,7,,3,,
,Ohkay Owingeh Tribal,,3,,0,,0,,,,0,,3,,27,,14,,17,,8,,
,Pojoaque Tribal,,9,,0,,1,,,,1,,7,,75,,2,,52,,2,,
,Ramah Navajo Tribal,,0,,0,,0,,,,0,,0,,0,,21,,0,,0,,
,Santa Ana Tribal,,6,,0,,0,,,,5,,1,,57,,0,,53,,2,,
,Santa Clara Pueblo,,11,,1,,0,,,,1,,9,,10,,2,,5,,4,,
,Southern Pueblos Agency,,15,,0,,2,,,,0,,13,,19,,1,,4,,4,,
,Taos Pueblo,,13,,1,,1,,,,1,,10,,2,,11,,1,,0,,
,Tesuque Pueblo,,0,,0,,0,,,,0,,0,,10,,1,,5,,2,,
,Zuni Tribal,,39,,1,,4,,,,0,,34,,2,,3,,0,,0,,
North Dakota,,,,,,,,,,,,,,,,,2,,,,,,
,Fort Berthold Agency,,53,,4,,6,,,,2,,41,,10,,,,0,,9,,3
,Fort Totten Agency,,57,,0,,5,,,,0,,52,,125,,1,,79,,7,,8
,Standing Rock Agency,,130,,0,,18,,,,2,,110,,99,,39,,50,,16,,2
,Turtle Mountain Agency,,21,,0,,5,,,,1,,15,,533,,33,,284,,86,,
Oklahoma,,,,,,,,,,,,,,,,,163,,,,,,
,Absentee Shawnee Tribal,,6,,1,,1,,,,1,,3,,26,,,,14,,7,,
,Anadarko Agency,,6,,0,,,,1,,0,,5,,59,,5,,43,,1,,
,Cherokee Nation,,12,,0,,,,3,,6,,3,,43,,15,,19,,10,,
,Chickasaw Nation,,78,,0,,,,2,,6,,70,,934,,14,,799,,69,,
,Choctaw Nation,,5,,0,,0,,,,3,,2,,395,,66,,353,,20,,
,Citizen Potawatomi Nation,,10,,0,,0,,,,0,,10,,158,,22,,124,,20,,
,Comanche Nation,,3,,0,,0,,,,1,,2,,67,,14,,57,,4,,2
,Concho Agency,,0,,0,,0,,,,0,,0,,23,,6,,20,,2,,
,Eastern Shawnee Tribal,,0,,0,,0,,,,0,,0,,41,,1,,37,,0,,
,Iowa Tribal,,2,,0,,0,,,,0,,2,,4,,4,,4,,0,,
,Kaw Tribal,,0,,0,,0,,,,0,,0,,1,,0,,0,,0,,
,Kickapoo Tribal,,1,,0,,0,,,,1,,0,,20,,1,,7,,4,,
,Miami Agency,,3,,0,,0,,,,0,,3,,40,,9,,34,,6,,
,Miami Tribal,,0,,0,,0,,,,0,,0,,5,,0,,4,,0,,
,Muscogee Nation Tribal,,6,,0,,0,,,,1,,5,,100,,1,,73,,14,,
,Osage Nation,,9,,0,,0,,,,2,,7,,95,,13,,62,,10,,
,Otoe-Missouria Tribal,,6,,0,,,,1,,0,,5,,16,,23,,11,,2,,
,Pawnee Agency,,4,,0,,,,1,,0,,3,,1,,3,,1,,0,,
,Pawnee Tribal,,2,,0,,0,,,,0,,2,,5,,0,,5,,0,,
,Ponca Tribal,,3,,0,,1,,,,0,,2,,29,,0,,16,,8,,
,Quapaw Tribal,,5,,0,,0,,,,1,,4,,92,,5,,76,,6,,
,Sac and Fox Tribal,,5,,1,,0,,,,0,,4,,8,,10,,3,,0,,
,Tonkawa Tribal,,6,,0,,0,,,,1,,5,,27,,5,,23,,0,,0
,Wyandotte Nation,,3,,0,,0,,,,1,,2,,106,,4,,103,,0,,
Oregon,,,,,,,,,,,,,,,,,3,,,,,,
,Burns Paiute Tribal,,4,,0,,,,0,,0,,4,,10,,,,5,,2,,0
,Grand Ronde Tribal,,0,,0,,0,,,,0,,0,,73,,3,,68,,1,,0
South Dakota,,,,,,,,,,,,,,,,,4,,,,,,
,Cheyenne River Tribal,,86,,0,,10,,,,4,,72,,33,,,,3,,11,,0
,Crow Creek Tribal,,43,,0,,7,,,,0,,36,,78,,19,,49,,3,,
,Flandreau Tribal,,2,,0,,0,,,,0,,2,,6,,26,,4,,1,,0
,Lower Brule Tribal,,35,,0,,4,,,,1,,30,,108,,1,,66,,6,,6
,Pine Ridge Sioux Tribal,,10,,0,,7,,,,0,,3,,215,,36,,153,,35,,0
,Rosebud Tribal,,388,,2,,11,,,,14,,361,,195,,27,,115,,18,,8
,Sisseton-Wahpeton Tribal,,21,,1,,2,,,,0,,18,,147,,62,,81,,37,,6
Washington,,,,,,,,,,,,,,,,,29,,,,,,
,Chehalis Tribal,,9,,0,,,,5,,3,,1,,86,,,,61,,13,,0
,Colville Tribal,,34,,0,,,,7,,2,,25,,304,,12,,166,,67,,27
,Lummi Tribal,,31,,0,,3,,,,6,,22,,303,,71,,212,,9,,5
,Makah Tribal,,6,,0,,,,0,,0,,6,,10,,82,,6,,1,,0
,Skokomish Tribal,,3,,0,,,,0,,2,,1,,50,,3,,37,,2,,0
,Swinomish Tribal,,1,,0,,1,,,,0,,0,,59,,11,,42,,1,,0
Wisconsin,,,,,,,,,,,,,,,,,16,,,,,,
,Lac du Flambeau Tribal,,39,,0,,5,,,,1,,33,,212,,,,186,,3,,0
,Menominee Tribal,,29,,0,,6,,,,1,,22,,86,,23,,69,,12,,0
,Oneida Tribal,,18,,1,,6,,,,1,,10,,103,,5,,82,,1,,1
,Red Cliff Tribal,,4,,0,,0,,,,0,,4,,65,,20,,47,,4,,0
,St. Croix Tribal,,3,,0,,0,,,,0,,3,,46,,14,,32,,4,,0
,Stockbridge Munsee Tribal,,4,,2,,0,,,,1,,1,,49,,10,,34,,5,,0
Wyoming,,,,,,,,,,,,,,,,,10,,,,,,
,Wind River Agency,,74,,3,,,,5,,0,,66,,128,,14,,89,,25,,
,,,,,,,,,,,,,,,,,,,,,,,
Total number of reporting tribal law enforcement agencies,,113,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"1/In 2013, the FBI's UCR Program initiated the collection of rape data within the Summary Reporting System under a revised definition. The term “forcible” was removed from the offense name, and the definition changed to the revised UCR definition below.  Revised UCR definition of rape:  Penetration, no matter how slight, of the vagina or anus with any body part or object, or oral penetration by a sex organ of another person, without the consent of the victim.",,,,,,,,,,,,,,,,,,,,,,,
2/Legacy UCR definition of rape:  The carnal knowledge of a female forcibly and against her will.,,,,,,,,,,,,,,,,,,,,,,,
"3/Arson is not included in the property crime total in this table; however, if complete arson data were provided, it will appear in the arson column.",,,,,,,,,,,,,,,,,,,,,,,
4/The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.  ,,,,,,,,,,,,,,,,,,,,,,,
"Source:  FBI, Crime in the United States, Table 11. Offenses Known to Law Enforcement, 2014. ",,,,,,,,,,,,,,,,,,,,,,,
