"Filename: Tribal Crime in the United States, 2019",,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2019",,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2019",,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,
Date of version: 07/06/2021,,,,,,,,,,,,,
State,Tribal Agencies,Latitude ,Longitude,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault",Property crime2,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
ALABAMA,,,,,,,,,,,,,
,Poarch Creek Tribal,31.0921663,-87.55416445,10,0,0,5,5,398,6,377,15,0
ALASKA,,,,,,,,,,,,,
,Metlakatla Tribal,55.1291667,-131.5722222,0,0,0,0,0,0,0,0,0,0
ARIZONA,,,,,,,,,,,,,
,Ak-Chin Tribal,33.00466665,-112.0381665,2,0,0,0,2,7,2,4,1,0
,Cocopah Tribal,32.615786,-114.767613,9,0,0,0,9,7,0,5,2,0
,Fort McDowell Tribal,33.6047418,-111.7205005,11,0,0,1,10,26,3,19,4,
,Fort Mojave Tribal,34.8521551,-114.6152723,11,0,0,1,10,14,1,11,2,
,Kaibab Paiute Tribal,36.912778,-112.679444,1,0,0,0,1,0,0,0,0,0
,Navajo Nation,36.075321,-109.19693,"2,171",20,193,17,"1,941",957,260,351,346,41
,Pascua Yaqui Tribal,32.1165976,-111.0642485,20,1,0,1,18,271,23,231,17,0
,Salt River Tribal,33.51883126,-111.7893302,351,1,5,9,336,653,89,528,36,3
,San Carlos Apache,33.3453349,-110.4531551,759,1,14,7,737,373,186,165,22,36
,Tonto Apache Tribal,34.2295968,-111.3270273,2,0,0,0,2,13,1,12,0,0
,Truxton Canon Agency,35.3632944,-113.6845959,13,0,0,0,13,0,0,0,0,0
,White Mountain Apache Tribal,33.8369944,-109.9642664,395,1,35,4,355,412,130,267,15,37
,Yavapai-Apache Nation,34.606067,-111.8594466,7,0,0,1,6,4,0,4,0,0
,Yavapai-Prescott Tribal,34.55694337,-112.4660598,4,0,0,0,4,104,1,101,2,0
CALIFORNIA,,,,,,,,,,,,,
,Hoopa Valley Tribal,41.05503219,-123.6809578,32,0,0,0,32,54,25,25,4,0
